"cbsa","cbsatitle","metrosize","list_jan20","list_feb20","list_mar20","list_apr20","list_may20","list_jun20","list_jul20","list_aug20","list_sep20","list_oct20","list_nov20","list_dec20","list_jan21","list_feb21","list_mar21","list_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"41700","San Antonio-New Braunfels, TX","Very Large",9715,9460,9241,9523,9082,7964,7456,7021,6677,6406,6204,5644,4942,3828,3086,2793,-71.0929414199959,-9.49449125081011,146,176,41,51
"41740","San Diego-Chula Vista-Carlsbad, CA","Very Large",4238,4092,4292,4702,4808,4384,4086,3877,3850,4776,4390,3777,3348,3158,3149,3220,-49.9922348190713,2.25468402667513,19,86,8,28
"41860","San Francisco-Oakland-Berkeley, CA","Very Large",2720,3493,3968,3787,4976,5351,5476,5640,5834,6276,5586,4093,3217,3343,3474,3553,-32.8862863619192,2.27403569372481,11,85,2,27
"41940","San Jose-Sunnyvale-Santa Clara, CA","Very Large",811,935,1142,1364,1652,1654,1673,1682,1686,1689,1568,1162,967,1032,1135,1217,-34.6050510478237,7.22466960352423,12,36,3,12
"42020","San Luis Obispo-Paso Robles, CA","Midsized",798,780,824,840,862,809,736,676,594,534,497,433,389,319,299,314,-69.4552529182879,5.01672240802676,126,62,57,21
"42100","Santa Cruz-Watsonville, CA","Midsized",267,283,340,369,404,404,373,330,287,279,263,227,171,158,162,200,-53.2710280373832,23.4567901234568,26,5,11,4
"42200","Santa Maria-Santa Barbara, CA","Midsized",1049,1041,1075,1081,1140,1094,987,934,860,800,744,681,594,589,536,534,-61.4996395097332,-0.373134328358209,64,107,28,40
"42220","Santa Rosa-Petaluma, CA","Midsized",683,733,796,793,1001,1014,897,786,696,787,815,670,563,524,543,597,-31.5366972477064,9.94475138121547,10,26,8,11
"42340","Savannah, GA","Midsized",2481,2505,2489,2516,2379,2195,2089,1931,1848,1772,1729,1598,1346,1094,854,824,-70.7490237841675,-3.51288056206089,141,140,64,57
"42540","Scranton--Wilkes-Barre, PA","Large",1677,1632,1563,1458,1413,1325,1172,1091,1023,1020,988,914,786,632,552,555,-70.6193753308629,0.543478260869565,139,95,37,31
"42660","Seattle-Tacoma-Bellevue, WA","Very Large",3958,3784,4292,4962,5630,5741,5733,5957,6051,5833,4161,3147,2413,2240,2462,2748,-54.7057853964068,11.6165718927701,33,23,16,7
"43340","Shreveport-Bossier City, LA","Midsized",1816,1782,1792,1770,1656,1383,1334,1264,1211,1174,1142,1069,1024,873,825,459,-78.7006960556844,-44.3636363636364,184,191,79,82
"43620","Sioux Falls, SD","Midsized",1105,1189,1320,1455,1487,1514,1459,1423,1365,1256,1026,864,779,803,897,1052,-8.12227074235808,17.2798216276477,3,7,2,5
"43780","South Bend-Mishawaka, IN-MI","Midsized",750,673,653,674,653,583,577,575,523,544,527,494,434,322,280,263,-65.2116402116402,-6.07142857142857,86,158,36,67
"43900","Spartanburg, SC","Midsized",1717,1595,1511,1610,1465,1269,1124,1045,982,961,952,902,883,791,621,588,-66.2844036697248,-5.31400966183575,94,151,40,63
"44060","Spokane-Spokane Valley, WA","Large",932,844,877,1044,1086,1062,984,966,949,835,684,511,363,326,347,367,-67.7787532923617,5.76368876080692,112,51,23,18
"44140","Springfield, MA","Large",988,943,955,931,895,846,782,755,769,801,722,651,523,437,406,428,-62.5874125874126,5.41871921182266,71,58,14,20
"44180","Springfield, MO","Midsized",1465,1356,1293,1362,1212,1076,1039,988,993,1024,920,820,692,514,384,384,-72.1132897603486,0,152,103,69,38
"44700","Stockton, CA","Large",1055,983,983,1069,1055,874,720,637,626,612,540,438,357,336,386,410,-68.1923972071373,6.21761658031088,115,45,26,16
"45060","Syracuse, NY","Large",1426,1329,1217,1153,1060,1108,1050,1038,1058,1073,972,906,759,642,632,664,-55.4959785522788,5.06329113924051,36,61,6,22
"45220","Tallahassee, FL","Midsized",1459,1608,1689,1697,1678,1722,1692,1616,1574,1515,1459,1330,1232,1286,1336,1418,-24.4941427050053,6.1377245508982,7,46,6,17
"45300","Tampa-St. Petersburg-Clearwater, FL","Very Large",12945,12669,12551,12794,11885,9989,8917,8299,7879,7946,7794,7188,6090,4788,3775,3519,-76.6706443914081,-6.78145695364238,179,167,53,48
"45780","Toledo, OH","Large",1341,1239,1185,1170,1071,957,942,897,887,933,867,752,653,534,523,545,-57.9475308641975,4.20650095602294,46,73,8,24
"45940","Trenton-Princeton, NJ","Midsized",1023,1057,1113,1030,1000,1002,955,848,786,769,728,628,511,420,446,503,-66.7328042328042,12.780269058296,97,15,42,7
"46060","Tucson, AZ","Very Large",2477,2418,2373,2623,2313,1748,1533,1493,1502,1600,1522,1338,1128,906,850,857,-72.9652996845426,0.823529411764706,158,93,44,32
"46140","Tulsa, OK","Large",2811,2676,2659,2635,2497,2266,2156,2008,1903,1890,1871,1627,1349,1140,1006,1062,-68.3174224343675,5.56660039761431,116,55,27,19
"46220","Tuscaloosa, AL","Midsized",908,873,871,868,826,799,799,785,762,775,738,674,619,623,600,543,-38.3654937570942,-9.5,13,177,9,73
"46520","Urban Honolulu, HI","Large",2738,2793,2851,2849,3932,4095,4107,4105,4023,3940,4001,4810,5332,3449,3484,3449,13.4166392634002,-1.00459242250287,1,112,1,33
"46540","Utica-Rome, NY","Midsized",739,705,671,646,631,576,577,556,551,946,914,879,805,721,663,649,-13.8114209827357,-2.11161387631976,5,130,4,52
"46700","Vallejo, CA","Midsized",492,459,478,538,565,464,418,385,357,353,315,248,222,205,176,222,-69.3793103448276,26.1363636363636,125,4,56,3
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","Very Large",7393,7525,7596,7633,7353,6668,6292,5700,5383,5063,4886,4390,3884,3543,3371,3552,-65.1628089446842,5.36932660931474,85,60,30,19
"47300","Visalia, CA","Midsized",810,781,756,783,702,587,513,481,479,474,451,419,369,317,309,324,-69.4915254237288,4.85436893203883,127,66,58,24
"47380","Waco, TX","Midsized",677,696,686,697,674,598,562,530,502,461,440,403,313,256,217,200,-71.9887955182073,-7.83410138248848,149,172,67,72
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","Very Large",9304,8922,9591,10390,10290,9732,8948,8580,8993,9443,8934,7431,6263,5719,6264,6960,-49.1525423728814,11.1111111111111,18,24,7,8
"48620","Wichita, KS","Large",1392,1307,1250,1245,1188,1059,995,976,958,1016,1006,919,784,627,539,506,-70.7852193995381,-6.12244897959184,142,161,39,48
"48900","Wilmington, NC","Midsized",1461,1438,1496,1581,1547,1341,1221,1160,1089,1028,1010,951,798,574,484,481,-67.4560216508796,-0.619834710743802,107,109,49,42
"49180","Winston-Salem, NC","Large",1580,1453,1458,1537,1384,1242,1117,1023,1012,990,921,828,739,625,581,566,-68.7982359426681,-2.58175559380379,123,135,31,40
"49340","Worcester, MA-CT","Large",1701,1542,1608,1625,1668,1536,1398,1281,1262,1277,1188,1015,791,649,679,767,-63.7352245862884,12.960235640648,77,14,17,5
"49420","Yakima, WA","Midsized",308,291,273,265,253,241,215,193,210,228,212,192,178,158,143,148,-55.952380952381,3.4965034965035,37,77,15,28
"49620","York-Hanover, PA","Midsized",977,901,894,845,901,832,734,668,630,625,586,524,443,402,406,416,-67.5507020280811,2.46305418719212,108,83,50,31
"49660","Youngstown-Warren-Boardman, OH-PA","Large",1499,1372,1260,1196,1092,994,913,855,784,808,807,745,632,511,447,439,-72.5625,-1.78970917225951,155,121,42,35
