"cbsa_code","cbsatitle","metrosize","posts_jan20","posts_feb20","posts_mar20","posts_apr20","posts_may20","posts_jun20","posts_jul20","posts_aug20","posts_sep20","posts_oct20","posts_nov20","posts_dec20","posts_jan21","posts_feb21","posts_mar21","posts_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"16980","Chicago-Naperville-Elgin, IL-IN-WI","Very Large",402948,347880,359568,315851,319951,325053,343399,363377,319524,336240,334298,368790,331560,344183,406604,430326,23.6995515695067,5.8341777257479,102,29,26,4
"17140","Cincinnati, OH-KY-IN","Very Large",97587,81784,89170,76784,80416,82089,87963,95934,77491,81341,83624,90224,82879,85403,94740,94732,15.8319475692067,-0.00844416297234537,126,120,32,36
"17300","Clarksville, TN-KY","Midsized",8230,7479,7551,6963,7488,7647,7995,8560,8437,9480,8931,9693,9182,9365,9942,10421,39.3368097339216,4.8179440756387,45,43,20,22
"17460","Cleveland-Elyria, OH","Very Large",95232,83706,86491,71819,75224,75517,80416,87057,75066,76480,75419,84501,75052,76684,90452,92276,10.2382147038444,2.0165391588909,150,81,42,20
"17780","College Station-Bryan, TX","Midsized",8484,8293,8245,6850,7068,6810,7484,7920,8278,9103,8819,9630,9334,9596,11088,10396,25.3587362836127,-6.24098124098124,98,174,42,71
"17820","Colorado Springs, CO","Large",28122,24509,23884,19924,20290,21418,23718,25030,26401,27346,26851,26650,24156,23920,25684,26661,8.78044799869436,3.80392462233297,159,55,48,18
"17900","Columbia, SC","Large",32750,29641,29015,25741,27776,26448,27136,29443,30210,31133,30679,33745,33524,34517,37250,39071,31.8140413616275,4.88859060402685,68,42,25,12
"17980","Columbus, GA-AL","Midsized",11255,9807,10220,8741,8714,8799,9290,10440,10718,11300,11613,12225,12019,12548,13352,12503,27.49056796166,-6.35859796285201,87,175,36,72
"18140","Columbus, OH","Very Large",102781,85502,92785,84639,86682,88100,95397,102990,82718,86355,84910,95056,86601,90120,54436,103329,20.8498046829314,89.8174002498347,108,5,27,1
"18580","Corpus Christi, TX","Midsized",12940,11631,10448,9011,9382,8771,9091,9513,9234,9968,9769,10187,9472,9843,12164,12426,6.83518184163013,2.15389674449194,167,79,70,35
"18880","Crestview-Fort Walton Beach-Destin, FL","Midsized",12032,11150,11699,9819,10110,9318,10188,11234,11126,11838,11923,12845,11826,11996,14153,13714,22.9955156950673,-3.10181586942698,105,151,46,60
