cbsa,cbsatitle,metrosize,Q12019,Q22019,Q32019,Q42019,Q12020,Q22020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
20500,"Durham-Chapel Hill, NC",Large,0.023,0.023,0.029,0.03,0.037,0.034,1.1,-0.3,170,11,51,5
21340,"El Paso, TX",Large,0.036,0.042,0.042,0.042,0.04,0.038,-0.4,-0.2,9,18,5,10
21500,"Erie, PA",Midsized,0.028,0.028,0.037,0.038,0.041,0.04,1.2,-0.1,172,34,68,16
21660,"Eugene-Springfield, OR",Midsized,0.027,0.026,0.025,0.026,0.028,0.029,0.3,0.1,87,99,34,39
21780,"Evansville, IN-KY",Midsized,0.032,0.032,0.035,0.033,0.039,0.041,0.9,0.2,162,124,63,50
22180,"Fayetteville, NC ",Large,0.036,0.035,0.036,0.039,0.043,0.05,1.5,0.7,182,182,56,54
22220,"Fayetteville-Springdale-Rogers, AR",Large,0.035,0.041,0.042,0.036,0.038,0.047,0.6,0.9,137,187,42,55
22420,"Flint, MI ",Midsized,0.048,0.048,0.046,0.047,0.056,0.061,1.3,0.5,174,172,69,69
22660,"Fort Collins, CO",Midsized,0.038,0.043,0.041,0.043,0.036,0.036,-0.7,0,6,65,2,26
22900,"Fort Smith, AR-OK ",Midsized,0.048,0.036,0.041,0.045,0.048,0.062,2.6,1.4,190,192,81,83
23060,"Fort Wayne, IN",Midsized,0.041,0.036,0.042,0.042,0.036,0.039,0.3,0.3,87,147,34,58
23420,"Fresno, CA",Large,0.053,0.052,0.054,0.053,0.052,0.053,0.1,0.1,64,99,21,37
23540,"Gainesville, FL ",Midsized,0.025,0.027,0.02,0.022,0.021,0.028,0.1,0.7,64,181,28,75
24340,"Grand Rapids-Kentwood, MI",Very Large,0.031,0.032,0.033,0.034,0.036,0.04,0.8,0.4,156,166,51,51
24540,"Greeley, CO",Midsized,0.029,0.021,0.019,0.02,0.024,0.027,0.6,0.3,137,134,49,53
24580,"Green Bay, WI ",Midsized,0.039,0.051,0.05,0.045,0.053,0.049,-0.2,-0.4,24,4,11,4
24660,"Greensboro-High Point, NC",Large,0.055,0.053,0.054,0.051,0.055,0.055,0.2,0,75,65,23,28
24860,"Greenville-Anderson, SC",Large,0.033,0.036,0.035,0.037,0.041,0.044,0.8,0.3,156,133,47,44
25060,"Gulfport-Biloxi, MS",Midsized,0.028,0.031,0.032,0.039,0.042,0.038,0.7,-0.4,146,2,55,2
25180,"Hagerstown-Martinsburg, MD-WV",Midsized,0.032,0.028,0.031,0.032,0.033,0.034,0.6,0.1,139,99,50,39
25420,"Harrisburg-Carlisle, PA",Large,0.061,0.061,0.064,0.064,0.063,0.06,-0.1,-0.3,32,7,12,3
25540,"Hartford-West Hartford-East Hartford, CT",Very Large,0.035,0.038,0.04,0.041,0.041,0.043,0.5,0.2,116,106,40,27
25860,"Hickory-Lenoir-Morganton, NC",Midsized,0.036,0.032,0.033,0.039,0.035,0.038,0.6,0.3,137,133,49,52
26420,"Houston-The Woodlands-Sugar Land, TX",Very Large,0.054,0.053,0.053,0.052,0.054,0.058,0.5,0.4,125,166,44,51
26580,"Huntington-Ashland, WV-KY-OH",Midsized,0.023,0.023,0.023,0.026,0.024,0.025,0.2,0.1,75,99,31,39
26620,"Huntsville, AL",Midsized,0.036,0.035,0.037,0.039,0.05,0.053,1.8,0.3,187,133,78,52
26900,"Indianapolis-Carmel-Anderson, IN",Very Large,0.046,0.044,0.046,0.045,0.048,0.047,0.3,-0.1,87,34,28,5
27140,"Jackson, MS",Large,0.047,0.05,0.045,0.041,0.041,0.041,-0.9,0,1,65,1,28
27260,"Jacksonville, FL",Very Large,0.039,0.038,0.036,0.04,0.044,0.043,0.5,-0.1,116,34,40,5
28020,"Kalamazoo-Portage, MI",Midsized,0.025,0.028,0.03,0.03,0.037,0.043,1.5,0.6,181,176,73,72
28140,"Kansas City, MO-KS",Very Large,0.049,0.05,0.051,0.05,0.051,0.052,0.2,0.1,66,99,17,23
28420,"Kennewick-Richland, WA",Midsized,0.041,0.042,0.042,0.042,0.042,0.042,0,0,48,65,22,26
28660,"Killeen-Temple, TX",Midsized,0.043,0.043,0.054,0.055,0.053,0.056,1.3,0.3,178,147,72,58
28700,"Kingsport-Bristol, TN-VA",Midsized,0.036,0.032,0.035,0.034,0.037,0.036,0.4,-0.1,100,34,36,16
28940,"Knoxville, TN",Large,0.027,0.025,0.026,0.028,0.028,0.029,0.4,0.1,107,99,31,37
29180,"Lafayette, LA",Midsized,0.034,0.031,0.032,0.032,0.034,0.036,0.5,0.2,116,106,42,42
29460,"Lakeland-Winter Haven, FL",Large,0.034,0.033,0.029,0.031,0.037,0.039,0.6,0.2,137,124,42,42
29540,"Lancaster, PA",Large,0.032,0.033,0.029,0.03,0.032,0.039,0.6,0.7,137,181,42,53
29620,"Lansing-East Lansing, MI",Large,0.045,0.042,0.039,0.041,0.044,0.048,0.6,0.4,137,166,42,50
29700,"Laredo, TX",Midsized,0.047,0.03,0.033,0.031,0.038,0.05,2,1.2,188,191,79,82
29820,"Las Vegas-Henderson-Paradise, NV",Very Large,0.058,0.059,0.061,0.058,0.062,0.061,0.2,-0.1,75,34,21,5
30460,"Lexington-Fayette, KY",Large,0.036,0.033,0.033,0.04,0.037,0.037,0.4,0,100,65,28,28
30700,"Lincoln, NE",Midsized,0.036,0.04,0.043,0.037,0.039,0.038,-0.2,-0.1,22,34,10,16
30780,"Little Rock-North Little Rock-Conway, AR",Large,0.039,0.039,0.039,0.038,0.039,0.037,-0.2,-0.2,22,18,8,10
30980,"Longview, TX",Midsized,0.036,0.041,0.043,0.041,0.04,0.041,0,0.1,48,99,22,39
31080,"Los Angeles-Long Beach-Anaheim, CA",Very Large,0.041,0.041,0.041,0.042,0.043,0.045,0.4,0.2,100,124,36,32
31140,"Louisville/Jefferson County, KY-IN",Very Large,0.029,0.028,0.03,0.033,0.03,0.033,0.5,0.3,118,147,42,44
31180,"Lubbock, TX",Midsized,0.034,0.036,0.041,0.044,0.055,0.057,2.1,0.2,189,124,80,50
31340,"Lynchburg, VA",Midsized,0.032,0.034,0.034,0.033,0.03,0.027,-0.7,-0.3,3,9,1,6
31540,"Madison, WI",Large,0.03,0.031,0.033,0.034,0.037,0.037,0.6,0,137,65,42,28
31700,"Manchester-Nashua, NH",Midsized,0.035,0.037,0.036,0.036,0.034,0.038,0.1,0.4,64,152,28,61
32580,"McAllen-Edinburg-Mission, TX",Large,0.042,0.043,0.044,0.047,0.048,0.048,0.5,0,125,65,37,28
32820,"Memphis, TN-MS-AR",Very Large,0.041,0.044,0.042,0.039,0.04,0.041,-0.3,0.1,16,99,3,23
32900,"Merced, CA",Midsized,0.051,0.052,0.05,0.05,0.057,0.052,0,-0.5,48,1,22,1
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Very Large,0.039,0.039,0.039,0.04,0.04,0.043,0.4,0.3,100,133,36,37
33340,"Milwaukee-Waukesha, WI",Very Large,0.036,0.036,0.037,0.038,0.04,0.038,0.2,-0.2,75,18,21,1
