cbsa_code,cbsatitle,topmetro,metrosize,price1_2019,price2_2019,price3_2019,price4_2019,price5_2019,price6_2019,price7_2019,price8_2019,price9_2019,price1_2020,price2_2020,price3_2020,price4_2020,price5_2020,price6_2020,price7_2020,price8_2020,price9_2020,price10_2020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,Very Large,279995,285000,291435.72,299950,301050,300050,300050,300006.56,299950,310000,310450,315050,316050,324950,329995,331995,334950,329995,320590,6.8800001,-2.8499999,126,158,35,44
47300,"Visalia, CA ",1,Midsized,269888.5,269950,275850,276057.5,275457.5,282900,281550,279050,278550,274500,269950,269950,270450,272050,277500,285050,309050,332050,345050,27.82,3.9200001,3,5,2,3
47380,"Waco, TX",1,Midsized,200050,213950,221378.58,231750,231250,229950,235549.5,232478.58,227050,222550,224950,228550,232500,249950,258950,254050,254950,252050,249950,11.58,-.82999998,65,111,24,49
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,Very Large,432500,447040,462907.16,479550,489450,487058,475050,475108.28,475568,479950,495050,505000,499999.5,510050,529845,529995,525050,519050,502050,4.5999999,-3.28,152,164,42,47
48620,"Wichita, KS",1,Large,186800,195350,203707.14,212550,218900,215050,202200,199992.86,202050,200612,205050,210050,219950,230050,248027.5,246150,240050,229250,227050,8.9200001,-.95999998,93,115,33,33
48900,"Wilmington, NC",1,Midsized,344500,341497.5,353044.28,356549.28,362500,352050,359950,365564.28,366114.28,358550,359950,369500,361050,369050,369500,368085.5,369950,378495,378800,5.2199998,.079999998,148,66,59,28
49180,"Winston-Salem, NC",1,Large,234950,241500,255988.58,269495,274500,279050,279500,277907.16,275407.16,276825,294950,296550,289500,300050,307550,315050,308130,300685,303830,8.1199999,1.05,102,40,36,11
49340,"Worcester, MA-CT",1,Large,301050,312550,332378.56,349450,351912.5,354950,349950,345664.28,339950,339950,344950,358550,362549.5,369950,382500,387050,377950,379950,375050,10.33,-1.29,76,122,30,35
49420,"Yakima, WA",1,Midsized,289300,291050,305050,322500,319750,325050,324950,312478.56,309478.56,305000,294550,335000,342300,349950,372550,389950,389050,382250,344950,8.6300001,-9.7600002,97,190,37,82
49620,"York-Hanover, PA",1,Midsized,218235,219950,219950,219950,226800,229950,237500,239992.86,240042.86,240921.5,252190,259790,268650,265050,255700,260315,272050,265450,260050,10.77,-2.03,68,138,25,57
49660,"Youngstown-Warren-Boardman, OH-PA",1,Large,119950,119250,122092.86,122092.86,123750,128850,129950,129092.86,128092.86,119950,119050,119950,119750,125050,129950,131500,135050,139500,139050,10.36,-.31999999,73,92,29,27
