"cbsa_code","cbsatitle","metrosize","unemp_jan20","unemp_feb20","unemp_mar20","unemp_apr20","unemp_may20","unemp_jun20","unemp_jul20","unemp_aug20","unemp_sep20","unemp_oct20","unemp_nov20","unemp_dec20","unemp_jan21","unemp_feb21","unemp_mar21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"16860","Chattanooga, TN-GA","Large",3.3,3.3,3.3,13.7,9.5,7.8,7.8,6.6,5.3,5.8,4.4,5.5,4.4,4.3,4.3,1,0,26,107,8,28
"16980","Chicago-Naperville-Elgin, IL-IN-WI","Very Large",3.5,3.4,4.6,17.6,15.6,15.2,11.9,11.8,11.5,8.7,7.7,8.6,8.5,8.3,8,4.6,-0.300000000000001,181,1,50,1
"17140","Cincinnati, OH-KY-IN","Very Large",3.7,3.7,4.3,14.5,11.5,8.8,7.5,8,7,5.9,5.1,5.1,5.1,4.7,4.5,0.8,-0.2,21,7,4,2
"17300","Clarksville, TN-KY","Midsized",4.2,4.2,4.3,16.6,10.8,8.3,8.6,8.6,6.4,7.8,5.8,7.1,5.4,5.6,5.5,1.3,-0.0999999999999996,42,60,19,23
"17460","Cleveland-Elyria, OH","Very Large",4.6,4.8,5.2,21.4,17.2,12.6,8.8,8.5,9.1,8.2,8.1,8.1,7.3,5.1,5,0.2,-0.0999999999999996,5,60,1,22
"17780","College Station-Bryan, TX","Midsized",2.7,2.8,4.1,9.3,9,5.7,5.3,4.3,5.6,4.8,5.9,5.4,5.7,5.6,5.5,2.7,-0.0999999999999996,129,60,61,23
"17820","Colorado Springs, CO","Large",3,2.9,5.8,12.6,9.9,10.3,6.8,6.3,6.3,6.3,6.2,8.7,6.7,6.7,6.7,3.8,0,164,107,50,28
"17900","Columbia, SC","Large",2.3,2.4,2.5,8.8,9.4,7.3,7.3,5.4,4.3,3.6,3.8,4,4.1,4.3,4.5,2.1,0.2,100,191,37,56
"17980","Columbus, GA-AL","Midsized",3.6,3.6,4.8,12.8,10.1,8.4,8.2,6.2,6.9,5.1,6,6,5,5,4.9,1.3,-0.0999999999999996,51,60,25,23
"18140","Columbus, OH","Very Large",3.6,3.6,4.1,14.1,11.3,9.7,8.1,8.1,7.3,5.6,5.1,5.1,4.9,4.9,4.9,1.3,0,51,107,11,33
"18580","Corpus Christi, TX","Midsized",4.3,4.3,6.3,16.2,15,9.6,9.6,8.1,9.8,8.4,10.1,9.1,9.5,9.4,9.2,4.9,-0.200000000000001,183,4,79,2
"18880","Crestview-Fort Walton Beach-Destin, FL","Midsized",2.5,2.5,3.7,13.9,10.3,6.4,7.2,4.6,3.9,3.9,3.9,4,2.9,3.7,3.7,1.2,0,37,107,16,48
"19100","Dallas-Fort Worth-Arlington, TX","Very Large",3.2,3.2,4.7,13.2,12.6,8.1,7.5,6.3,7.5,6.2,7.4,6.7,7,6.9,6.8,3.6,-0.100000000000001,156,30,37,9
"19340","Davenport-Moline-Rock Island, IA-IL","Midsized",4.1,3.9,3.9,16,15.4,12,10,9,7.6,5.3,5.5,5.3,6.2,6,5.9,2,-0.0999999999999996,96,60,43,23
"19430","Dayton-Kettering, OH","Large",4.1,4,4.2,16.1,12.9,10.3,8.5,8.5,7.9,6,5.5,5.5,5.4,5.4,5.3,1.3,-0.100000000000001,42,30,15,6
"19660","Deltona-Daytona Beach-Ormond Beach, FL","Large",3.2,3.3,5,15,13.6,9.3,10.4,6.8,5.9,5.8,5.9,5.8,4.6,4.9,4.9,1.6,0,78,107,25,28
"19740","Denver-Aurora-Lakewood, CO","Very Large",2.4,2.4,4.9,12.3,10.6,11,7.9,7.2,6.7,6.7,6.6,8.5,6.7,6.7,6.6,4.2,-0.100000000000001,170,30,44,9
"19780","Des Moines-West Des Moines, IA","Large",2.7,2.7,3.2,12,11.2,9.3,7.3,6.8,5.1,3.8,3.9,3.4,4.2,4.2,4.1,1.4,-0.100000000000001,56,30,19,6
"19820","Detroit-Warren-Dearborn, MI","Very Large",4.2,4.2,4.2,24.7,24.3,18.7,11.1,10.6,10.3,10.1,10.2,10.3,5.2,4.5,4.5,0.3,0,9,107,2,33
"20260","Duluth, MN-WI","Midsized",4.2,4.1,3.9,12.3,12.9,10.4,9.1,8.8,7.1,6.1,5.8,5.7,4.4,4.4,4.3,0.2,-0.100000000000001,5,30,5,17
"20500","Durham-Chapel Hill, NC","Large",3.2,3.2,3.8,10.1,10.8,6.7,7.6,5.7,6.4,5.4,5.4,5.4,4.7,4.3,4.2,1,-0.0999999999999996,26,60,8,17
"21340","El Paso, TX","Large",3.8,3.8,5.5,15.5,14.8,9.1,8.4,7.1,8.6,7.4,9.6,8.4,8.2,8.1,8.1,4.3,0,175,107,53,28
"21500","Erie, PA","Midsized",5,5.1,6.2,17.2,14.2,14.4,13.2,11.2,9,8.2,7.6,7.7,8.6,8.8,8.8,3.7,0,160,107,72,48
"21660","Eugene-Springfield, OR","Midsized",3.5,3.5,3.5,16,14.6,11.6,10.3,8.6,8.5,7.2,5.9,5.9,6.2,6.3,6.3,2.8,0,131,107,62,48
"21780","Evansville, IN-KY","Midsized",3,2.9,3,15.2,10.9,9,6.7,5.8,5.7,5.5,4.8,4,4.2,4.1,4.1,1.2,0,36,107,15,48
"22180","Fayetteville, NC","Large",4.8,4.8,5.8,15.3,15.8,9.7,11.1,8.8,9.8,8.5,8.4,8.4,7.8,7.2,7.1,2.3,-0.100000000000001,114,30,41,6
"22220","Fayetteville-Springdale-Rogers, AR","Large",2.5,2.5,3.6,8.6,7.4,6.3,5.4,5.7,5.6,4.7,4.7,3.2,3.3,3.4,3.4,0.9,0,23,107,7,28
"22420","Flint, MI","Midsized",4.6,4.5,4.4,31,25.5,16.6,10.8,10.8,10.9,7.9,7,7,7.3,7.2,7,2.5,-0.2,123,7,58,3
"22660","Fort Collins, CO","Midsized",2.1,2.2,4.4,11.2,8.8,9.1,6.3,5.6,5.6,5.5,5.5,7.6,6,5.8,5.7,3.5,-0.0999999999999996,152,60,70,23
"22900","Fort Smith, AR-OK","Midsized",3.6,3.5,4.6,12.4,11.9,7.5,7.4,7,6.9,6.4,6.3,4.5,4.9,4.9,4.9,1.4,0,58,107,27,48
"23060","Fort Wayne, IN","Midsized",3.1,3,3,20,14,11.4,8.2,6.6,6.4,6.2,5.8,5.2,4.8,4.5,4.3,1.3,-0.2,42,7,19,3
"23420","Fresno, CA","Large",6.9,6.9,9.5,16.7,16.6,15,13.9,11.3,11.3,9.6,8.6,10,8.8,8.8,8.7,1.8,-0.100000000000001,84,26,27,5
"23540","Gainesville, FL","Midsized",2.7,2.7,4,9.2,8.2,6,7.2,4.7,4.2,4.1,4.2,4.3,3.3,3.9,4,1.3,0.1,42,182,19,79
"24340","Grand Rapids-Kentwood, MI","Very Large",2.8,2.6,2.6,22.3,17.5,11.9,7.7,7.5,6.8,5,4.8,4.8,4.9,4.8,4.7,2.1,-0.0999999999999996,100,60,20,22
"24540","Greeley, CO","Midsized",2.4,2.4,4.8,10,8.9,10,7.3,6.8,6.7,6.6,6.6,8.4,6.6,6.7,6.7,4.3,0,178,107,76,48
"24580","Green Bay, WI","Midsized",3.3,3.2,3,13.3,12.7,8.8,7.1,6.2,5,5.6,4.7,4.7,3.3,3.3,3.4,0.2,0.1,4,182,4,79
"24660","Greensboro-High Point, NC","Large",3.9,3.8,4.7,15.4,14.8,8.8,10,7.6,8.3,7.2,7.1,7.1,6.4,5.9,5.8,2,-0.100000000000001,94,30,33,6
"24860","Greenville-Anderson, SC","Large",2.3,2.3,2.5,12.5,12.4,8.1,8,5.7,4.4,3.7,3.7,3.8,4,4.2,4.3,2,0.0999999999999996,94,173,33,51
"25060","Gulfport-Biloxi, MS","Midsized",5.5,5.4,5.3,22.3,15,10.3,10.3,8.4,7.9,7.8,6.7,6.6,6.5,6.4,6.4,1,0,26,107,13,48
"25180","Hagerstown-Martinsburg, MD-WV","Midsized",3.5,3.4,3.7,12,10.7,8.6,7.8,7,7.2,6.3,5.8,5.7,5.2,5.1,4.9,1.5,-0.199999999999999,71,21,33,12
"25420","Harrisburg-Carlisle, PA","Large",4,4,4.7,13.7,11.7,11.4,10.5,8.6,6.7,6.1,5.5,5.6,6.2,6.3,6.2,2.2,-0.0999999999999996,109,60,40,17
"25540","Hartford-East Hartford-Middletown, CT","Very Large",3.8,3.8,3.3,7.8,9,9.7,9.9,8,7.8,6.2,8.4,8.2,8.2,8.2,8,4.2,-0.199999999999999,172,21,46,6
"25860","Hickory-Lenoir-Morganton, NC","Midsized",3.5,3.4,4.3,18.2,15.1,7.9,8.7,6.8,7.5,6.3,6.3,6.2,5.9,5.7,5.4,2,-0.3,96,2,43,1
"26420","Houston-The Woodlands-Sugar Land, TX","Very Large",3.8,3.8,5.7,14.7,14.1,9.4,9.4,8,9.6,7.9,9.2,8.3,8.4,8.3,8.3,4.5,0,180,107,49,33
"26580","Huntington-Ashland, WV-KY-OH","Midsized",5,4.9,5.9,17.2,13.1,9.2,8.7,8.5,7.7,6.5,6.4,6.4,5.8,5.7,5.6,0.699999999999999,-0.100000000000001,20,30,12,17
"26620","Huntsville, AL","Midsized",2.3,2.2,2.7,11.4,8,6,6,4.3,5.3,4.3,3.5,3.4,3.1,2.9,2.7,0.5,-0.2,14,20,9,11
"26900","Indianapolis-Carmel-Anderson, IN","Very Large",2.9,2.8,2.8,13.8,10.6,10.7,7.9,6.7,6.5,5.8,5.3,4.3,4.4,4.3,4.2,1.4,-0.0999999999999996,58,60,13,22
"27140","Jackson, MS","Large",4.8,4.7,4.6,15,10.1,8.5,8.4,6.8,6.4,6.5,5.6,5.6,5.6,5.6,5.7,1,0.100000000000001,26,185,8,53
"27260","Jacksonville, FL","Very Large",2.9,2.9,4.4,11.4,10.6,7.5,8.5,5.6,4.8,4.8,4.9,4.9,3.9,4.1,4.2,1.3,0.100000000000001,51,185,11,53
"28020","Kalamazoo-Portage, MI","Midsized",3.3,3.2,3.1,18.8,15.9,11.8,7.9,7.8,7.6,5.5,5.4,5.3,5.7,5.5,5.4,2.2,-0.0999999999999996,109,60,50,23
"28140","Kansas City, MO-KS","Very Large",3.3,3.3,3.2,11.7,11.1,7.9,7.1,7.1,5.4,4.9,4.8,4.8,4.8,4.7,4.5,1.2,-0.2,37,7,9,2
"28420","Kennewick-Richland, WA","Midsized",5,4.9,4.8,13.7,12.8,10.5,11.6,9,8.2,6.1,6,5.8,5.5,5.1,5.2,0.3,0.100000000000001,9,185,6,81
"28660","Killeen-Temple, TX","Midsized",3.7,3.7,5.4,11.7,11.3,7.6,7,6,7.4,6.2,7.5,7,7.3,7.3,7.2,3.5,-0.0999999999999996,152,60,70,23
"28700","Kingsport-Bristol, TN-VA","Midsized",3.7,3.7,3.7,14.1,9.9,8.6,8.6,7.1,6,6.8,5.3,6.3,5.1,5,5,1.3,0,42,107,19,48
"28940","Knoxville, TN","Large",3.1,3.2,3.2,14.1,9.2,7.7,7.7,7,5.3,6.4,4.7,5.9,4.3,4.3,4.3,1.1,0,31,107,12,28
"29180","Lafayette, LA","Midsized",5.2,5.2,7.1,13.9,13,8.6,8.5,6.9,7,8.1,7.5,6.6,6.7,6.6,6.6,1.4,0,56,107,26,48
"29460","Lakeland-Winter Haven, FL","Large",3.4,3.4,5.1,14.5,18,13.4,12.8,8.7,7.8,7,7.2,7.1,5.5,5.5,5.5,2.1,0,100,107,37,28
"29540","Lancaster, PA","Large",3.7,3.7,4.4,15.2,11.7,11.3,10,8,6.2,5.4,4.8,4.9,5.7,5.8,5.8,2.1,0,98,107,35,28
"29620","Lansing-East Lansing, MI","Large",3.3,3.1,3,20,16.9,10.9,7.3,7.2,7.3,5.2,5.1,5.1,5,5,4.9,1.8,-0.0999999999999996,88,60,30,17
"29700","Laredo, TX","Midsized",3.7,3.8,5.6,13.7,14.3,9.2,9.1,8,9.6,8.1,9.5,8.5,8.1,7.9,8,4.2,0.0999999999999996,172,173,75,73
"29820","Las Vegas-Henderson-Paradise, NV","Very Large",3.8,3.7,7.1,34.2,29.1,17.7,16.5,15.6,14.5,13.9,12,10.5,9.8,9.1,9.1,5.4,0,187,107,52,33
"30460","Lexington-Fayette, KY","Large",3.4,3.4,4.3,15.8,9.3,4.1,4.1,6.7,5,6.5,4.9,5.4,4,4,4,0.6,0,18,107,5,28
"30700","Lincoln, NE","Midsized",2.7,2.7,3.8,9.6,5.3,5.4,4.9,3.9,3.4,2.8,2.9,2.9,3.2,2.8,2.8,0.0999999999999996,0,3,107,3,48
"30780","Little Rock-North Little Rock-Conway, AR","Large",3.3,3.2,4.6,11.2,10.3,8.9,8.1,8.4,8,6.9,6.9,4.5,4.9,5,5,1.8,0,85,107,28,28
"30980","Longview, TX","Midsized",3.8,3.9,5.7,12.5,12.3,8.4,8.3,7.2,8.9,7.8,9.2,8.4,7.8,7.9,8,4.1,0.0999999999999996,167,173,74,73
"31080","Los Angeles-Long Beach-Anaheim, CA","Very Large",3.9,3.9,5.8,19,19.3,17.7,16.2,14.4,13.6,10.6,9.6,9.9,9.8,10,10,6.1,0,191,107,53,33
"31140","Louisville/Jefferson County, KY-IN","Very Large",3.7,3.5,4.3,17.4,12.1,6.3,5.3,7.2,5.6,6.9,5.4,5.4,4.4,4.4,4.4,0.9,0,24,107,5,33
"31180","Lubbock, TX","Midsized",2.8,2.8,3.9,10.4,9.8,6.1,6,5,6.1,5.3,6.5,6,5.8,5.8,5.8,3,0,144,107,66,48
"31340","Lynchburg, VA","Midsized",3.2,3.1,3.9,10.6,8.3,7.5,7.3,5.9,6.1,5.1,5,5,5.1,5.2,5.2,2.1,0,100,107,45,48
"31540","Madison, WI","Large",2.6,2.6,2.4,11.6,10,7.3,6.1,5.4,4.2,4.7,4.1,4.4,3.1,3.1,3.1,0.5,0,14,107,4,28
"31700","Manchester-Nashua, NH","Midsized",2.4,2.4,2.2,17.5,16,9.1,7.9,6.5,5.8,4.2,4.1,4.1,3,2.8,2.8,0.4,0,12,107,7,48
"32580","McAllen-Edinburg-Mission, TX","Large",6.5,6.5,9.7,19,18.2,12,11.8,10.4,12.8,11,12.9,11.5,11.9,11.9,11.7,5.2,-0.200000000000001,184,4,55,2
"32820","Memphis, TN-MS-AR","Very Large",4.1,4.1,4,13.4,11,11.3,12.8,11.9,9.3,9.9,7,7.5,6.6,6.5,6.4,2.3,-0.0999999999999996,118,60,22,22
"32900","Merced, CA","Midsized",7.8,7.8,10.8,18,17,15.9,14.4,12,12.7,11.1,10.2,11.4,9.8,9.7,9.6,1.8,-0.0999999999999996,85,60,40,23
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","Very Large",2.5,2.4,4.2,13.8,13.5,11.2,13.2,8,9.5,7.6,7.6,7.2,7,6.7,6.6,4.2,-0.100000000000001,170,30,44,9
"33340","Milwaukee-Waukesha, WI","Very Large",3.7,3.6,3.5,14.1,13.5,10.1,8.7,7.6,6.6,7.3,6.1,6.2,4.4,4.5,4.6,1,0.0999999999999996,25,173,6,51
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","Very Large",2.9,2.8,2.8,9.4,10.4,9.1,8.3,8.2,6.3,4.9,4.7,4.7,4.2,4.2,4.1,1.3,-0.100000000000001,42,30,10,9
"33660","Mobile, AL","Midsized",3.4,3.4,3.5,15.4,12.4,10.7,11.7,8,9.6,8.1,6.5,6.3,5.9,5.7,5.5,2.1,-0.2,100,7,45,3
"33700","Modesto, CA","Large",5.8,5.7,7.6,17.4,16.8,15.1,14,11.5,11.4,9.5,8.3,9.7,8.2,8.4,8.3,2.6,-0.0999999999999996,127,60,43,17
"33860","Montgomery, AL","Midsized",2.8,2.8,3.2,14.7,10.8,9.1,9.8,6.8,8.4,7.2,5.4,5.3,5.1,5,4.9,2.1,-0.0999999999999996,106,60,48,23
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Midsized",3.4,3.3,4.1,22,18.3,11.2,11.3,8.6,7.1,6,5.9,5.8,5.7,5.7,5.8,2.5,0.0999999999999996,123,173,58,73
"34940","Naples-Marco Island, FL","Midsized",2.9,3,4.3,14.2,12.8,9,9.5,5.8,5,4.9,4.9,4.8,4,4.3,4.3,1.3,0,42,107,19,48
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","Very Large",2.6,2.6,2.6,15.7,11.4,9.9,10,8.5,6.3,6.2,4.4,5.5,4.2,4.1,4.1,1.5,0,63,107,15,33
"35300","New Haven-Milford, CT","Large",3.6,3.6,3.1,7.5,8.5,9.1,9.5,7.7,7.5,5.9,8.2,8.1,7.8,7.7,7.6,4,-0.100000000000001,166,30,51,6
"35380","New Orleans-Metairie, LA","Very Large",4.8,4.8,6.7,20,17.9,12.1,11.4,9.2,9.2,11.3,10.3,8.6,8.7,8.8,8.7,3.9,-0.100000000000001,165,26,42,7
"35620","New York-Newark-Jersey City, NY-NJ-PA","Very Large",3.6,3.5,4,15.8,15.7,17.2,16.3,12.9,9.5,9.5,9.5,8.4,8.9,8.6,8.7,5.2,0.0999999999999996,184,173,51,51
"35840","North Port-Sarasota-Bradenton, FL","Large",2.9,2.9,4.4,14.6,12.5,8.4,9.2,5.9,5,5,5,4.9,3.9,4.1,4.2,1.3,0.100000000000001,51,185,17,53
"35980","Norwich-New London, CT","Midsized",3.6,3.6,3.4,13.7,15,13.2,12.3,10.2,9.3,7.1,9.1,9,9,9,8.9,5.3,-0.0999999999999996,186,60,80,23
"36100","Ocala, FL","Midsized",3.5,3.5,5.3,12.5,10.9,8.1,9.2,6.1,5.3,5.3,5.4,5.5,4.2,5,5.1,1.6,0.0999999999999996,72,173,34,73
"36260","Ogden-Clearfield, UT","Large",2.4,2.4,3.8,9.8,8.1,4.7,3.8,3.5,4.5,3.6,4,3.3,3,2.6,2.7,0.3,0.1,11,182,3,52
"36420","Oklahoma City, OK","Very Large",3,2.8,2.8,15.2,12.9,6.6,7.1,5.6,5.4,6,6,5.2,4.7,4.3,4.3,1.5,0,64,107,16,33
"36500","Olympia-Lacey-Tumwater, WA","Midsized",4.5,4.4,4.4,16.1,14.6,9,10.6,8.4,8.5,6.1,6.2,6.8,5.6,5.5,5.5,1.1,0,31,107,14,48
"36540","Omaha-Council Bluffs, NE-IA","Large",2.9,2.9,4.2,10.2,6.6,6.7,6,4.8,4.2,3.4,3.4,3.3,3.7,3.2,3.1,0.2,-0.1,5,56,1,15
"36740","Orlando-Kissimmee-Sanford, FL","Very Large",2.8,2.8,4.3,17.1,21.3,16.1,15.3,10.7,9.3,8.1,7.5,7.1,6.1,5.7,5.7,2.9,0,138,107,32,33
"37100","Oxnard-Thousand Oaks-Ventura, CA","Large",3.4,3.4,4.7,14.4,14.3,12.5,11,8.2,8.3,6.9,6.3,7.6,7,7,6.9,3.5,-0.0999999999999996,155,60,48,17
"37340","Palm Bay-Melbourne-Titusville, FL","Large",2.9,3,4.5,13.1,11.7,8.1,9.2,6,5.3,5.2,5.2,5.1,4.2,4.5,4.5,1.5,0,64,107,21,28
"37860","Pensacola-Ferry Pass-Brent, FL","Large",2.9,2.9,4.4,12.2,10.4,7,8.2,5.3,4.7,4.6,4.8,4.8,3.6,4.1,4.2,1.3,0.100000000000001,51,185,17,53
"37900","Peoria, IL","Midsized",4.4,4.3,4.3,18.9,16.5,13.9,11,10.4,9.4,6.7,6.9,6.9,6.6,6.6,6.5,2.2,-0.0999999999999996,109,60,50,23
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Very Large",4.4,4.4,5.1,15.3,13.9,14.4,13,10.8,8.2,7.7,7.6,7,7.3,7.4,7.4,3,0,144,107,35,33
"38060","Phoenix-Mesa-Chandler, AZ","Very Large",3.9,3.9,5.5,12.8,8.5,9.6,10.3,5.7,6.2,7.6,7.6,7.2,6.7,6.4,6.4,2.5,0,125,107,24,33
"38300","Pittsburgh, PA","Very Large",4.7,4.7,5.9,17,13.9,12.8,12.8,10.6,8.3,7.3,6.7,6.8,7.5,7.5,7.5,2.8,0,131,107,26,33
"38860","Portland-South Portland, ME","Large",2.5,2.5,2.1,10.9,10.3,6.9,10.1,6.7,5.8,5,4.4,4.5,4.4,4.3,4.3,1.8,0,85,107,28,28
"38900","Portland-Vancouver-Hillsboro, OR-WA","Very Large",3.2,3.2,3.2,14.3,14.2,11.6,11,8.9,8.2,6.8,5.9,6.1,6.3,6.2,6.1,2.9,-0.100000000000001,135,30,29,9
"38940","Port St. Lucie, FL","Midsized",3.4,3.5,5.2,14,12.4,8.7,9.5,6.1,5.3,5.3,5.4,5.4,4.5,4.8,4.9,1.4,0.100000000000001,58,185,27,81
"39300","Providence-Warwick, RI-MA","Very Large",3.4,3.3,4.3,18.5,17,14,12.5,13,10.4,7.1,7.1,7.9,7.7,7.5,7.4,4.1,-0.0999999999999996,169,60,43,22
"39340","Provo-Orem, UT","Large",2.3,2.3,3.5,8.1,6.3,4.1,3.5,3.4,4.2,3.5,3.8,3.3,2.9,2.6,2.5,0.2,-0.1,5,56,1,15
"39580","Raleigh-Cary, NC","Very Large",3.2,3.2,3.9,11.5,11.7,6.9,7.7,5.8,6.5,5.5,5.4,5.4,4.8,4.4,4.3,1.1,-0.100000000000001,31,30,7,9
"39740","Reading, PA","Midsized",4.7,4.6,5.6,17.2,13.7,13,12,10.3,8,7.1,6.4,6.4,7.4,7.6,7.5,2.9,-0.0999999999999996,138,60,63,23
"39900","Reno, NV","Midsized",3,2.9,5.4,20.5,16.4,8.8,8.3,7.6,7.2,7,6.3,5.6,5,4.8,4.6,1.7,-0.2,80,7,38,3
