"cbsa","cbsatitle","metrosize","cases_feb20","cases_mar20","cases_apr20","cases_may20","cases_jun20","cases_jul20","cases_aug20","cases_sep20","cases_oct20","cases_nov20","cases_dec20","cases_jan21","cases_feb21","chg_traj","rank_traj","szrank_traj"
10420,"Akron, OH","Large",0,0.774950340127538,3.19838971739028,4.13153997902315,2.93778018486219,7.00206609097486,6.58937064356966,6.0935247060206,12.8485849292152,47.682067742368,72.7123523278247,50.1883519094432,24.4194516518211,-25.7689002576222,124,38
10580,"Albany-Schenectady-Troy, NY","Large",0,1.75876932461536,7.07648165964509,4.47386946949032,1.86282984298843,3.55784377958648,2.75174117247111,3.08957144690765,4.97951565031723,17.3182595565632,56.3392440318453,73.6228167489508,23.6301912791978,-49.992625469753,21,7
10740,"Albuquerque, NM","Large",0,0.583304326241688,3.97232588758245,3.19411826839575,3.2788028121453,11.2936150875951,4.98268394343803,3.69273805088789,22.2042170935014,74.6753694735107,66.9956643621929,40.0828460809574,17.2032107680428,-22.8796353129146,145,45
10900,"Allentown-Bethlehem-Easton, PA-NJ","Large",0,2.33130415600445,20.9860687888108,8.86277760290873,3.66091188694535,4.45623056705114,3.11477522482562,3.89786411263761,9.49719807814929,38.9154538661915,73.5086953058847,70.0614226030715,31.6077343914491,-38.4536882116224,60,18
11100,"Amarillo, TX","Midsized",0,0.158215465853877,10.0608809055799,26.7019024679544,9.48238025350905,16.5639422328559,14.1541989836969,35.3136919785854,57.6391112526125,122.290007407324,75.1280054396911,37.5335766687198,13.6899843750926,-23.8435922936272,137,52
11260,"Anchorage, AK","Midsized",0,0.553483294205592,1.11022237249475,0.496507072743251,2.59051886915441,12.1277957112696,12.7138368463108,13.3899546743306,37.2624488363706,88.5991096353004,72.0179439283981,29.4892643368656,19.4829607900458,-10.0063035468198,181,74
11460,"Ann Arbor, MI","Midsized",0,2.72911609721305,7.98873416194914,4.63335466022022,4.28000286542565,6.16025562779279,4.65968053897147,7.93432734586322,17.0240682591425,39.4721450703344,31.9508415111019,25.7203835399725,20.2762544948774,-5.44412904509506,189,80
11700,"Asheville, NC","Midsized",0,0.278880128954172,1.5201291029077,3.3256455377785,4.14253191550676,13.8115383864554,10.1860967100511,8.71012362756117,13.2398341220993,19.7184519178122,49.0410706765911,55.455313642537,29.9265768380491,-25.5287368044879,127,49
12060,"Atlanta-Sandy Springs-Alpharetta, GA","Very Large",0,1.28970875000785,5.91603209816992,5.39834468480643,8.47124858231163,25.9709942305278,21.8939714308561,11.0879231444035,19.7442782422265,25.6822787902304,56.1106357710104,74.0599309170482,34.1021145660201,-39.9578163510281,54,14
12100,"Atlantic City-Hammonton, NJ","Midsized",0,0.37926195623317,11.7950468388516,15.2928208158536,8.38168923275306,6.14159683964682,4.69795455463024,4.7534165181224,13.8369442741844,34.4875538868029,51.4083464545736,115.075418075135,43.7505756654693,-71.3248424096662,6,2
12260,"Augusta-Richmond County, GA-SC","Large",0,0.497924080350115,4.061436062487,2.43135269022024,4.72374571688178,30.060842084967,29.5258385518249,23.273889673443,20.436075553093,30.0502479555979,62.6854634772687,85.2244737101383,44.5240988444378,-40.7003748657005,51,17
12420,"Austin-Round Rock-Georgetown, TX","Very Large",0,0.404116056743283,2.88568799037425,3.32707735605491,16.2394785765356,25.7185831667875,14.1252322055932,7.24265777252127,7.01336898477052,19.3062704293763,37.7942661957078,53.8401360043174,29.0771124637667,-24.7630235405507,132,40
12540,"Bakersfield, CA","Large",0,0.361925936193102,2.99562394514416,4.83762389961077,8.90540863791312,53.346449624819,35.0172301829604,10.3828548111054,8.06270649935129,28.0640715454235,96.7954790935454,90.1016409865284,36.4283317998151,-53.6733091867133,17,5
12580,"Baltimore-Columbia-Towson, MD","Very Large",0,0.899752554222966,9.10458956788794,12.6817876016471,7.44509717018452,12.9686485312265,12.1299547290827,8.49983911018827,10.8062470660838,30.1541911290013,36.8172754518022,37.1628910296087,15.2344055120181,-21.9284855175906,151,46
12940,"Baton Rouge, LA","Large",0,1.89046587871344,12.6995787342688,10.3315280956435,11.334871163807,38.9111459906049,24.7571789026725,13.8342355999956,8.35050097723125,33.3105622127291,51.6463203232553,54.5895606134679,23.265478958883,-31.3240816545849,90,27
13140,"Beaumont-Port Arthur, TX","Midsized",0,0.287605367307799,3.73613067626513,2.50627534368225,12.3207400255925,41.0782637477625,19.8940741214909,10.3422890083885,10.8961347728612,18.1796722224628,63.3635710660126,47.5945796413364,25.4008364808415,-22.1937431604949,150,58
13820,"Birmingham-Hoover, AL","Very Large",0,1.18922649543383,3.08133909861661,3.86054869786355,10.7418904687884,33.3367994453826,24.7548440641549,20.7868113795565,21.9681491420189,43.9579922997091,87.1123199279601,67.7563274910856,24.010732283119,-43.7455952079666,36,9
14260,"Boise City, ID","Large",0,1.08933109129189,3.13222157264218,0.787935137179507,8.7025928921706,42.449467308485,25.91144074069,14.2818625684395,27.6337033356179,64.989148453955,79.0647700766519,41.1792986447257,15.6642858477611,-25.5150127969647,128,40
14460,"Boston-Cambridge-Newton, MA-NH","Very Large",0.00070762618862536,3.21586428083607,29.2248672400689,15.4756021320267,5.83074544411449,3.93609078094921,4.91117684222371,1.36602518206202,11.8678499025996,29.2111864670888,65.6147524735428,62.4518460235974,26.5345920934376,-35.9172539301597,71,23
14500,"Boulder, CO","Midsized",0,1.05814078137862,4.83349479045318,3.95566647244344,4.12839724174014,5.00391808764096,4.21278479315227,22.4404958981717,14.0920618080798,54.4560121317654,34.0187316630136,25.9392828930479,17.6931310360292,-8.24615185701871,185,77
